LoanDuration,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Risk
30,radio_tv,5786,36832,greater_7,5,none,4,unknown,37,none,own,524,skilled,Risk
25,business,7487,27286,4_to_7,4,none,2,savings_insurance,54,none,own,640,skilled,No Risk
4,car_new,250,20759,unemployed,1,none,2,real_estate,19,none,rent,326,skilled,No Risk
32,radio_tv,2593,38475,greater_7,4,none,2,savings_insurance,34,bank,own,675,unemployed,No Risk
4,car_new,3543,29789,1_to_4,2,none,3,savings_insurance,24,none,rent,386,skilled,No Risk
41,business,9010,39136,1_to_4,5,none,5,unknown,38,none,own,256,management_self-employed,No Risk
24,business,5279,26984,4_to_7,3,none,4,savings_insurance,31,none,free,264,management_self-employed,No Risk
28,car_used,8516,23668,1_to_4,3,none,4,unknown,40,none,own,601,skilled,Risk
8,car_used,5577,31753,1_to_4,3,none,4,savings_insurance,41,none,free,529,management_self-employed,No Risk
16,radio_tv,2931,21198,greater_7,2,none,3,savings_insurance,47,none,own,443,skilled,Risk
21,furniture,3396,20742,4_to_7,4,none,3,car_other,38,none,own,507,skilled,Risk
17,car_used,3807,25802,4_to_7,3,none,1,savings_insurance,30,none,own,565,skilled,No Risk
8,car_new,250,20891,1_to_4,2,none,2,savings_insurance,26,none,rent,677,skilled,No Risk
38,repairs,5668,26282,greater_7,5,co-applicant,4,unknown,50,none,own,510,skilled,Risk
4,car_new,250,28571,less_1,1,none,2,real_estate,19,none,rent,484,skilled,No Risk
34,appliances,7968,21868,greater_7,5,none,5,unknown,47,none,free,480,management_self-employed,Risk
25,radio_tv,3009,34188,4_to_7,3,none,1,car_other,23,none,own,353,skilled,Risk
20,retraining,2354,20905,1_to_4,3,none,2,real_estate,39,none,own,420,skilled,No Risk
4,car_used,1420,36984,4_to_7,2,none,2,car_other,43,none,own,438,skilled,No Risk
33,radio_tv,4729,39625,4_to_7,4,none,4,car_other,45,none,own,290,skilled,Risk
4,car_new,2761,24181,less_1,1,none,1,car_other,29,bank,rent,556,unemployed,No Risk
28,car_used,3810,36316,1_to_4,3,none,4,savings_insurance,34,none,rent,560,management_self-employed,No Risk
10,appliances,818,29532,1_to_4,2,none,1,savings_insurance,19,bank,rent,681,unemployed,No Risk
24,car_used,7523,20373,4_to_7,3,none,3,car_other,42,stores,own,244,unskilled,No Risk
19,car_used,3730,31119,4_to_7,3,co-applicant,2,savings_insurance,25,bank,own,539,unemployed,No Risk
35,appliances,5839,22006,1_to_4,3,guarantor,3,car_other,49,none,free,534,skilled,Risk
31,radio_tv,1098,31927,4_to_7,3,none,4,savings_insurance,19,stores,rent,650,unskilled,Risk
25,furniture,5758,20206,4_to_7,4,none,4,unknown,38,none,free,639,management_self-employed,Risk
4,car_new,250,22085,less_1,1,none,1,real_estate,19,bank,rent,622,unemployed,No Risk
17,car_used,3715,25370,1_to_4,2,none,3,savings_insurance,39,bank,own,625,unemployed,No Risk
4,car_new,250,20312,unemployed,1,none,2,real_estate,19,none,rent,430,skilled,No Risk
15,furniture,5043,35568,greater_7,2,none,3,car_other,44,stores,rent,574,skilled,Risk
20,car_used,2113,22294,1_to_4,2,none,3,savings_insurance,37,bank,rent,555,unemployed,No Risk
40,repairs,7183,23371,greater_7,4,co-applicant,3,car_other,52,none,free,466,skilled,Risk
15,retraining,2497,28689,greater_7,4,none,3,car_other,24,stores,own,652,skilled,No Risk
33,other,7634,34965,greater_7,5,guarantor,4,unknown,65,none,free,433,skilled,Risk
4,car_new,250,24970,less_1,2,none,2,savings_insurance,19,none,rent,418,management_self-employed,No Risk
33,vacation,7786,24825,greater_7,5,co-applicant,5,unknown,47,none,free,514,management_self-employed,Risk
35,education,467,21641,1_to_4,2,co-applicant,3,savings_insurance,29,stores,own,327,skilled,No Risk
22,appliances,2596,39833,1_to_4,3,none,3,car_other,36,none,own,436,skilled,Risk
16,retraining,250,34301,less_1,2,none,3,real_estate,37,none,own,265,skilled,No Risk
18,vacation,1800,31704,less_1,3,none,1,real_estate,25,none,rent,275,skilled,No Risk
32,other,5821,27106,greater_7,4,none,2,car_other,37,bank,own,451,unskilled,No Risk
32,car_used,6250,27418,4_to_7,4,none,4,car_other,46,none,own,269,skilled,No Risk
17,car_new,1566,35313,4_to_7,3,none,2,car_other,19,none,own,565,skilled,No Risk
16,appliances,1443,38783,1_to_4,1,none,1,savings_insurance,39,none,own,242,skilled,Risk
41,appliances,7208,32157,greater_7,6,guarantor,5,unknown,74,stores,own,624,unskilled,Risk
27,appliances,4384,27829,1_to_4,4,none,2,real_estate,38,none,free,345,skilled,No Risk
27,furniture,2202,29882,4_to_7,4,none,3,savings_insurance,44,none,own,688,skilled,No Risk
35,radio_tv,7046,27468,4_to_7,5,none,4,car_other,42,none,free,233,management_self-employed,No Risk
9,car_new,250,37727,1_to_4,2,none,3,savings_insurance,19,stores,own,430,skilled,Risk
30,repairs,7597,36342,greater_7,4,co-applicant,5,unknown,52,stores,own,556,skilled,Risk
42,repairs,2932,34989,greater_7,4,none,3,car_other,47,none,own,290,skilled,Risk
9,appliances,1512,36372,4_to_7,3,none,3,car_other,33,none,own,322,skilled,Risk
6,furniture,250,35304,less_1,1,none,1,savings_insurance,42,none,rent,315,skilled,No Risk
24,car_new,3229,30327,4_to_7,3,none,4,car_other,30,none,own,622,skilled,Risk
16,car_used,4817,30302,greater_7,4,none,3,car_other,42,none,own,416,skilled,Risk
35,furniture,6041,20956,4_to_7,3,none,4,unknown,52,none,own,329,skilled,Risk
4,car_new,250,33088,1_to_4,2,none,3,savings_insurance,41,bank,rent,642,unemployed,No Risk
34,vacation,6981,39681,greater_7,5,none,3,unknown,55,none,free,572,skilled,Risk
25,retraining,2705,38983,less_1,3,none,3,real_estate,29,none,own,518,skilled,No Risk
12,furniture,250,28214,less_1,1,none,2,savings_insurance,24,none,rent,494,skilled,No Risk
27,appliances,3303,26007,1_to_4,4,none,4,real_estate,46,none,own,633,management_self-employed,No Risk
33,appliances,2641,21052,4_to_7,4,none,3,real_estate,36,stores,own,216,unskilled,No Risk
4,car_used,250,34034,unemployed,1,none,1,real_estate,19,none,rent,384,skilled,No Risk
14,furniture,4140,25121,4_to_7,4,none,3,savings_insurance,35,none,own,528,skilled,No Risk
4,car_used,250,24099,unemployed,2,none,1,real_estate,20,none,rent,271,management_self-employed,No Risk
20,radio_tv,2400,34649,greater_7,4,none,4,car_other,48,none,own,297,skilled,No Risk
4,car_new,2060,27229,less_1,1,none,1,car_other,31,stores,own,537,unskilled,No Risk
29,repairs,7715,24420,4_to_7,3,co-applicant,4,car_other,51,none,free,586,management_self-employed,Risk
17,radio_tv,2026,27353,4_to_7,4,none,4,real_estate,44,none,own,645,management_self-employed,No Risk
32,car_used,4395,39916,greater_7,3,none,2,car_other,41,stores,free,351,skilled,No Risk
19,furniture,3418,32556,unemployed,3,none,3,savings_insurance,25,none,own,614,management_self-employed,No Risk
28,radio_tv,5107,39357,greater_7,5,none,3,savings_insurance,54,none,own,519,skilled,Risk
12,car_new,250,23668,less_1,1,none,2,real_estate,22,bank,rent,475,unemployed,No Risk
40,repairs,9282,22255,greater_7,4,co-applicant,4,unknown,52,stores,own,632,unskilled,Risk
26,appliances,3194,36153,greater_7,5,none,3,car_other,36,none,own,570,skilled,No Risk
30,appliances,8293,35785,4_to_7,5,co-applicant,4,unknown,51,none,own,478,management_self-employed,Risk
42,appliances,2759,37727,4_to_7,2,none,3,savings_insurance,30,stores,own,331,skilled,No Risk
27,appliances,7167,26978,4_to_7,4,none,5,unknown,59,none,own,436,skilled,Risk
8,car_new,4222,35766,1_to_4,3,none,4,car_other,36,none,own,667,skilled,No Risk
30,business,4765,25705,4_to_7,4,none,3,savings_insurance,35,none,rent,224,skilled,No Risk
17,retraining,5542,23912,less_1,3,none,3,savings_insurance,29,none,own,414,management_self-employed,No Risk
18,car_used,1768,31217,1_to_4,1,none,3,car_other,28,none,own,228,skilled,No Risk
4,education,250,21511,unemployed,1,none,1,real_estate,19,none,rent,677,skilled,No Risk
16,car_new,4081,29098,1_to_4,2,none,1,real_estate,39,stores,own,241,skilled,No Risk
13,furniture,250,36068,4_to_7,3,none,2,real_estate,26,none,rent,494,skilled,No Risk
19,car_used,1164,26928,1_to_4,3,none,2,real_estate,32,none,rent,315,skilled,No Risk
8,car_new,1637,38348,less_1,3,none,2,savings_insurance,27,none,rent,578,skilled,No Risk
24,business,3119,36379,greater_7,4,none,4,unknown,41,none,own,265,skilled,No Risk
4,car_used,3365,36591,1_to_4,2,co-applicant,3,savings_insurance,43,none,own,306,skilled,No Risk
33,radio_tv,4574,33202,4_to_7,4,none,4,savings_insurance,43,none,own,425,management_self-employed,No Risk
11,radio_tv,1353,36705,1_to_4,2,none,3,savings_insurance,45,bank,rent,526,unskilled,Risk
16,furniture,2618,31758,4_to_7,3,none,2,savings_insurance,32,bank,rent,616,unemployed,No Risk
17,furniture,250,22465,4_to_7,3,co-applicant,3,savings_insurance,52,stores,own,473,unskilled,No Risk
25,car_new,2783,34281,less_1,3,none,3,savings_insurance,22,none,rent,683,skilled,Risk
14,vacation,724,34247,4_to_7,3,co-applicant,2,savings_insurance,46,stores,own,264,unskilled,No Risk
21,car_new,2104,24419,less_1,1,none,3,real_estate,32,stores,own,269,skilled,No Risk
4,car_new,250,36248,1_to_4,1,none,1,real_estate,29,bank,own,610,unemployed,No Risk
29,radio_tv,9451,38474,greater_7,4,co-applicant,3,unknown,54,none,free,270,skilled,Risk
34,vacation,3700,38322,greater_7,4,none,4,car_other,42,none,own,322,skilled,Risk
12,furniture,1472,21981,1_to_4,2,none,1,savings_insurance,40,stores,own,592,skilled,No Risk
23,car_used,3000,22899,4_to_7,3,guarantor,5,unknown,61,none,own,200,skilled,Risk
28,education,4547,23889,greater_7,3,none,4,savings_insurance,42,none,own,598,skilled,Risk
13,car_new,250,22766,4_to_7,3,none,3,real_estate,21,none,own,527,skilled,No Risk
20,radio_tv,3966,38265,1_to_4,4,none,4,savings_insurance,43,none,own,527,management_self-employed,No Risk
4,furniture,1259,39158,unemployed,1,none,1,real_estate,19,none,rent,460,skilled,No Risk
27,car_used,4651,20526,1_to_4,3,none,4,car_other,41,none,own,629,management_self-employed,No Risk
13,car_used,2503,21411,less_1,3,none,2,car_other,26,none,rent,211,skilled,No Risk
27,car_used,4591,29866,4_to_7,3,none,2,savings_insurance,38,none,own,616,skilled,Risk
7,car_new,250,24983,less_1,1,none,1,real_estate,22,stores,rent,624,skilled,No Risk
23,business,4636,34843,4_to_7,2,none,2,savings_insurance,39,none,rent,328,skilled,Risk
32,vacation,2742,32369,greater_7,3,none,2,car_other,30,none,own,342,skilled,Risk
44,repairs,6214,21532,4_to_7,5,none,4,car_other,39,none,free,378,skilled,No Risk
11,car_used,6020,37789,1_to_4,3,none,3,car_other,19,none,own,634,skilled,Risk
21,radio_tv,3109,25071,greater_7,4,none,4,unknown,40,none,own,375,skilled,Risk
4,repairs,250,39621,unemployed,1,none,2,real_estate,19,stores,rent,670,skilled,No Risk
34,radio_tv,7062,21898,4_to_7,5,co-applicant,4,unknown,61,none,free,443,skilled,Risk
31,radio_tv,3578,32013,1_to_4,4,none,4,real_estate,23,none,own,314,skilled,No Risk
17,vacation,7582,39753,1_to_4,3,none,3,car_other,40,none,own,630,management_self-employed,No Risk
15,furniture,2539,39639,1_to_4,2,none,3,savings_insurance,31,none,rent,470,skilled,No Risk
40,vacation,7757,23994,greater_7,4,co-applicant,3,unknown,51,none,free,315,skilled,Risk
19,car_new,250,38210,4_to_7,3,none,3,savings_insurance,36,none,own,239,skilled,Risk
36,radio_tv,8452,30327,greater_7,5,co-applicant,5,car_other,50,none,free,614,management_self-employed,Risk
6,vacation,4178,36217,1_to_4,2,none,2,savings_insurance,39,bank,own,269,unskilled,No Risk
39,vacation,4123,32837,4_to_7,4,none,4,unknown,37,none,own,686,skilled,Risk
35,furniture,2992,20280,greater_7,4,guarantor,5,car_other,50,none,free,214,skilled,Risk
8,furniture,311,20520,less_1,1,none,2,savings_insurance,39,none,own,232,skilled,Risk
4,car_new,250,20939,1_to_4,2,none,1,savings_insurance,22,stores,rent,470,unskilled,No Risk
27,furniture,7191,25710,greater_7,4,none,4,car_other,41,none,own,473,skilled,No Risk
61,education,6293,26117,4_to_7,5,co-applicant,4,unknown,47,stores,own,372,unskilled,No Risk
10,car_new,3503,27544,less_1,2,none,2,savings_insurance,24,none,own,261,skilled,No Risk
23,appliances,3841,37997,4_to_7,4,none,4,savings_insurance,33,none,rent,460,skilled,No Risk
14,furniture,1784,22018,unemployed,1,none,2,savings_insurance,22,none,rent,269,skilled,No Risk
4,car_used,250,37850,less_1,1,none,1,real_estate,37,stores,own,297,skilled,No Risk
34,business,3198,37712,greater_7,3,none,2,savings_insurance,34,stores,free,603,skilled,Risk
38,radio_tv,5223,20584,greater_7,5,co-applicant,4,unknown,50,none,free,650,skilled,Risk
19,car_new,1190,32961,less_1,2,none,3,real_estate,20,none,own,417,skilled,No Risk
27,vacation,4907,35478,4_to_7,4,none,4,unknown,38,none,own,511,skilled,Risk
32,car_used,5210,25803,1_to_4,3,none,4,unknown,41,none,own,414,skilled,Risk
22,car_new,250,33733,less_1,1,none,3,savings_insurance,19,stores,rent,676,skilled,No Risk
27,radio_tv,2107,37930,less_1,3,none,3,savings_insurance,36,none,rent,365,skilled,No Risk
36,appliances,3897,27091,4_to_7,4,none,3,savings_insurance,40,none,own,301,skilled,No Risk
29,business,5579,32468,greater_7,5,none,3,savings_insurance,45,none,free,693,skilled,No Risk
19,car_new,3307,25543,4_to_7,3,none,3,car_other,36,none,own,564,skilled,No Risk
14,retraining,4160,39575,greater_7,4,none,3,car_other,39,none,own,393,skilled,Risk
8,car_used,1638,37962,less_1,3,none,4,real_estate,38,none,rent,288,management_self-employed,No Risk
20,car_used,2146,33025,less_1,3,none,1,real_estate,44,none,own,540,skilled,No Risk
41,vacation,6415,36725,greater_7,4,guarantor,4,car_other,56,none,free,524,skilled,Risk
22,car_used,1273,34116,1_to_4,3,none,3,savings_insurance,36,stores,own,284,skilled,Risk
30,business,2883,33641,greater_7,4,none,2,savings_insurance,26,none,own,666,management_self-employed,Risk
19,appliances,3691,33764,1_to_4,3,co-applicant,4,savings_insurance,34,none,own,695,skilled,Risk
26,appliances,9358,39068,4_to_7,4,co-applicant,3,unknown,44,none,own,665,management_self-employed,Risk
23,car_new,4168,23696,4_to_7,3,none,2,car_other,32,none,own,376,skilled,Risk
26,furniture,250,32703,1_to_4,1,none,3,car_other,29,stores,own,419,unskilled,No Risk
34,radio_tv,5530,32651,4_to_7,4,none,4,savings_insurance,42,none,own,648,management_self-employed,No Risk
38,repairs,6353,24266,greater_7,4,co-applicant,3,car_other,31,none,own,395,skilled,Risk
24,car_used,5013,36387,4_to_7,3,none,4,savings_insurance,39,none,own,683,management_self-employed,No Risk
7,car_new,250,29803,less_1,2,none,2,real_estate,29,none,own,410,skilled,No Risk
40,repairs,7559,33860,4_to_7,5,none,5,car_other,42,none,own,278,skilled,No Risk
11,car_used,1282,21496,unemployed,2,none,2,real_estate,19,none,own,644,skilled,No Risk
25,furniture,3292,26380,4_to_7,3,none,4,car_other,43,bank,rent,648,unskilled,Risk
19,radio_tv,4548,37686,4_to_7,4,none,4,savings_insurance,36,none,own,333,skilled,No Risk
37,other,5799,33980,greater_7,5,none,4,car_other,42,none,free,306,management_self-employed,Risk
4,car_new,250,25931,unemployed,1,none,3,real_estate,19,none,rent,356,management_self-employed,No Risk
13,furniture,2634,21897,1_to_4,3,none,2,real_estate,49,none,own,587,skilled,No Risk
13,car_new,4085,30314,1_to_4,3,none,2,real_estate,25,none,own,336,skilled,No Risk
51,education,6467,22129,greater_7,4,co-applicant,5,car_other,43,none,free,530,skilled,Risk
37,repairs,6450,38346,4_to_7,5,none,3,savings_insurance,36,none,own,214,management_self-employed,No Risk
14,car_new,3582,20574,less_1,3,none,2,savings_insurance,34,none,own,639,skilled,No Risk
4,car_used,906,29652,1_to_4,2,none,2,real_estate,19,none,own,277,skilled,No Risk
14,furniture,1157,34571,less_1,2,none,3,real_estate,21,none,own,432,skilled,No Risk
8,repairs,4231,32252,less_1,3,none,4,real_estate,36,none,own,493,skilled,No Risk
15,vacation,3090,33919,1_to_4,3,co-applicant,1,savings_insurance,38,none,own,675,skilled,No Risk
15,car_new,4646,35639,1_to_4,2,none,3,unknown,40,none,own,677,skilled,Risk
11,car_new,1525,30058,1_to_4,2,none,1,real_estate,26,stores,own,469,skilled,No Risk
5,car_used,250,30269,unemployed,2,none,2,real_estate,19,stores,rent,400,skilled,No Risk
16,car_new,1812,32267,1_to_4,1,none,3,savings_insurance,44,none,own,369,skilled,Risk
23,car_used,2771,37160,less_1,2,none,2,car_other,50,none,own,361,skilled,No Risk
34,repairs,4593,38817,1_to_4,3,none,2,savings_insurance,39,stores,own,587,unskilled,No Risk
17,radio_tv,1492,39783,greater_7,3,none,2,savings_insurance,46,none,own,290,skilled,No Risk
16,repairs,1435,34951,1_to_4,1,none,2,car_other,25,stores,rent,630,skilled,Risk
4,car_new,250,29995,less_1,1,none,1,real_estate,19,none,rent,218,skilled,No Risk
22,car_new,2260,36199,1_to_4,3,none,2,savings_insurance,47,bank,own,605,unemployed,Risk
4,car_used,250,25288,less_1,2,none,1,savings_insurance,19,stores,rent,262,skilled,No Risk
14,car_used,917,36128,less_1,2,none,3,real_estate,24,none,own,523,skilled,No Risk
11,car_used,6169,37084,less_1,3,none,2,car_other,37,none,own,549,management_self-employed,Risk
13,vacation,1586,24736,1_to_4,3,none,3,savings_insurance,34,stores,own,231,unskilled,No Risk
6,car_new,777,28932,1_to_4,2,none,2,real_estate,19,none,rent,378,skilled,No Risk
23,car_used,2641,32329,4_to_7,3,none,2,real_estate,33,none,own,323,skilled,No Risk
37,appliances,3072,23090,greater_7,3,none,3,car_other,34,none,own,233,skilled,Risk
63,other,8244,33915,greater_7,4,co-applicant,5,car_other,52,none,free,237,skilled,Risk
19,repairs,1822,24781,4_to_7,4,none,3,savings_insurance,19,none,own,317,skilled,Risk
25,car_used,4317,34394,4_to_7,4,none,4,car_other,39,none,own,451,management_self-employed,No Risk
9,car_new,250,31223,4_to_7,1,none,1,real_estate,29,stores,own,573,skilled,No Risk
22,furniture,4428,24096,1_to_4,3,none,3,savings_insurance,32,none,rent,284,skilled,Risk
11,car_used,368,24783,unemployed,1,none,2,real_estate,19,none,rent,678,management_self-employed,No Risk
17,car_used,2065,28599,less_1,3,none,3,savings_insurance,25,none,own,420,skilled,No Risk
4,car_used,250,27317,unemployed,1,none,1,real_estate,19,stores,rent,590,skilled,No Risk
25,car_used,4998,28003,4_to_7,3,guarantor,5,car_other,60,none,free,215,skilled,Risk
4,car_used,1694,28460,1_to_4,3,none,1,savings_insurance,26,none,own,329,skilled,No Risk
8,education,2704,34635,unemployed,2,none,3,real_estate,19,none,own,220,management_self-employed,No Risk
19,furniture,250,21943,less_1,2,none,3,savings_insurance,19,stores,own,224,skilled,No Risk
8,car_new,3350,37393,less_1,1,none,1,car_other,32,none,own,574,skilled,No Risk
9,car_new,329,25482,1_to_4,2,none,3,real_estate,23,stores,own,281,skilled,Risk
15,car_new,1323,27739,4_to_7,3,none,2,real_estate,29,none,own,552,skilled,No Risk
4,car_used,3562,34796,1_to_4,3,none,2,savings_insurance,21,none,own,294,skilled,No Risk
12,car_used,250,36091,less_1,2,none,2,real_estate,24,none,own,416,skilled,No Risk
19,radio_tv,358,34137,greater_7,3,none,2,car_other,40,none,own,629,skilled,No Risk
13,car_used,250,29676,unemployed,1,none,2,savings_insurance,19,none,rent,360,skilled,No Risk
24,radio_tv,7173,24611,1_to_4,4,none,4,savings_insurance,51,stores,rent,379,unskilled,No Risk
33,repairs,5363,31952,4_to_7,4,none,3,savings_insurance,49,stores,own,327,unemployed,Risk
4,car_used,250,26012,1_to_4,2,none,1,savings_insurance,26,bank,rent,618,unskilled,No Risk
19,retraining,3233,34517,4_to_7,2,none,1,car_other,34,stores,free,365,skilled,Risk
8,furniture,811,28706,4_to_7,3,none,2,real_estate,32,none,own,474,management_self-employed,Risk
25,radio_tv,4531,30861,less_1,3,none,3,car_other,27,none,own,623,skilled,No Risk
18,radio_tv,5093,33010,1_to_4,3,none,4,car_other,48,stores,own,615,unskilled,Risk
41,other,7242,35930,4_to_7,4,none,4,car_other,41,none,own,513,management_self-employed,No Risk
28,radio_tv,1820,21789,less_1,2,none,4,savings_insurance,28,bank,rent,498,unemployed,No Risk
31,radio_tv,3914,24831,1_to_4,4,co-applicant,3,real_estate,52,none,free,363,skilled,Risk
18,radio_tv,4224,37616,4_to_7,3,none,4,car_other,42,stores,own,423,unskilled,No Risk
16,furniture,869,31960,4_to_7,3,none,3,car_other,37,none,own,437,skilled,No Risk
11,car_used,4025,28691,1_to_4,2,none,2,savings_insurance,40,none,own,690,skilled,No Risk
19,vacation,3268,24778,1_to_4,3,none,2,savings_insurance,22,none,own,474,skilled,No Risk
15,radio_tv,2953,28718,4_to_7,2,none,2,savings_insurance,43,stores,own,658,unskilled,No Risk
19,furniture,4480,35489,1_to_4,3,none,2,car_other,42,none,own,392,skilled,Risk
22,radio_tv,3841,29793,4_to_7,3,co-applicant,2,unknown,52,stores,own,230,skilled,No Risk
31,appliances,6610,25801,1_to_4,4,none,3,savings_insurance,48,none,own,621,skilled,No Risk
20,car_new,3846,26139,4_to_7,4,none,4,savings_insurance,32,none,own,532,management_self-employed,Risk
15,retraining,1302,30095,less_1,1,none,2,real_estate,20,none,rent,632,skilled,No Risk
14,vacation,1995,20376,1_to_4,2,none,1,real_estate,20,none,own,549,skilled,No Risk
17,radio_tv,2533,23640,less_1,2,none,3,savings_insurance,32,none,own,297,skilled,No Risk
8,furniture,250,25112,less_1,2,none,2,real_estate,19,none,own,225,management_self-employed,No Risk
47,repairs,4952,21261,4_to_7,3,none,4,car_other,41,none,own,335,skilled,No Risk
8,car_new,1110,26499,1_to_4,3,none,3,car_other,36,none,own,408,skilled,No Risk
40,radio_tv,5538,38864,greater_7,4,co-applicant,3,unknown,44,none,free,330,skilled,Risk
22,radio_tv,7110,39960,4_to_7,3,none,2,savings_insurance,51,none,own,478,skilled,No Risk
14,car_new,3148,29025,1_to_4,3,none,3,car_other,41,none,own,285,skilled,No Risk
13,furniture,250,38423,less_1,2,co-applicant,2,real_estate,19,none,own,659,skilled,No Risk
10,car_used,250,24796,1_to_4,2,none,2,real_estate,36,stores,rent,315,unskilled,No Risk
13,car_used,6281,38697,greater_7,4,none,4,savings_insurance,31,none,free,584,management_self-employed,No Risk
25,radio_tv,6683,29285,4_to_7,3,none,3,unknown,44,none,own,577,skilled,Risk
4,car_new,250,37033,1_to_4,2,none,2,savings_insurance,19,none,rent,670,skilled,No Risk
17,car_used,4490,26653,1_to_4,2,none,2,savings_insurance,32,none,free,649,skilled,No Risk
8,car_new,2971,22879,4_to_7,3,co-applicant,4,car_other,47,none,own,552,skilled,Risk
39,furniture,7177,36585,greater_7,4,co-applicant,5,unknown,49,none,free,209,skilled,Risk
8,car_used,2069,20339,4_to_7,2,none,2,real_estate,20,none,own,685,skilled,No Risk
28,radio_tv,4153,34875,1_to_4,3,none,3,car_other,41,none,own,235,skilled,No Risk
30,furniture,5546,34136,greater_7,4,none,5,car_other,37,none,own,430,skilled,No Risk
33,repairs,5034,35574,greater_7,4,none,3,car_other,43,none,own,437,skilled,Risk
20,car_new,2499,35994,1_to_4,3,none,3,car_other,31,none,free,606,skilled,No Risk
17,car_new,1312,38262,1_to_4,3,none,3,savings_insurance,22,stores,rent,569,unskilled,No Risk
32,appliances,2879,26012,1_to_4,4,none,2,car_other,46,none,own,668,skilled,Risk
35,radio_tv,6924,23673,greater_7,5,co-applicant,5,car_other,53,none,free,244,skilled,Risk
27,car_new,1471,38179,1_to_4,3,none,3,car_other,33,none,own,569,skilled,No Risk
40,furniture,5234,24678,4_to_7,4,none,5,car_other,54,none,free,564,skilled,Risk
10,furniture,250,37701,less_1,2,none,1,real_estate,22,stores,own,687,skilled,No Risk
26,retraining,5217,29100,greater_7,3,none,3,savings_insurance,42,none,own,660,skilled,No Risk
19,car_new,1593,32710,1_to_4,2,none,3,real_estate,27,none,free,252,skilled,Risk
40,radio_tv,7030,37934,greater_7,4,co-applicant,4,car_other,45,none,own,458,skilled,Risk
4,car_new,250,31092,1_to_4,1,none,2,real_estate,19,bank,rent,355,unskilled,No Risk
40,repairs,10920,30011,greater_7,6,co-applicant,6,unknown,54,stores,free,221,unskilled,Risk
10,car_new,1693,31596,1_to_4,3,none,2,car_other,31,none,rent,266,skilled,No Risk
9,car_used,489,26259,1_to_4,2,none,3,real_estate,23,none,own,682,skilled,No Risk
20,vacation,862,22605,unemployed,2,none,1,savings_insurance,19,none,rent,592,skilled,No Risk
31,car_used,5636,30407,greater_7,3,none,3,car_other,50,none,own,618,skilled,Risk
12,furniture,250,20839,1_to_4,1,none,2,savings_insurance,28,stores,rent,543,skilled,No Risk
16,car_used,3218,37674,less_1,2,none,3,savings_insurance,35,bank,rent,435,unskilled,Risk
4,car_new,687,30457,unemployed,2,none,2,real_estate,19,none,rent,576,skilled,No Risk
20,furniture,2732,37558,4_to_7,2,none,1,unknown,38,stores,own,551,skilled,Risk
12,car_new,1927,28223,less_1,3,none,3,savings_insurance,36,none,own,579,skilled,No Risk
20,appliances,2615,33608,less_1,2,none,1,savings_insurance,32,stores,own,283,skilled,No Risk
12,car_new,4916,30248,4_to_7,3,none,4,car_other,48,none,own,223,skilled,Risk
20,furniture,2734,20284,less_1,3,none,2,real_estate,26,none,own,529,skilled,No Risk
14,furniture,5834,28417,4_to_7,3,none,4,savings_insurance,32,none,rent,695,management_self-employed,Risk
9,car_used,250,34396,unemployed,2,none,2,real_estate,19,none,rent,652,skilled,No Risk
19,car_new,250,27611,4_to_7,3,none,3,savings_insurance,25,stores,own,684,skilled,No Risk
54,other,7465,29795,greater_7,5,co-applicant,3,unknown,48,none,free,302,skilled,No Risk
4,radio_tv,250,28294,less_1,2,none,2,real_estate,19,none,rent,606,skilled,No Risk
8,car_used,840,22844,1_to_4,2,none,1,car_other,30,none,rent,402,skilled,No Risk
8,appliances,250,22103,less_1,1,co-applicant,3,savings_insurance,45,stores,rent,626,skilled,No Risk
33,car_used,5485,22287,1_to_4,3,none,4,car_other,39,none,own,482,skilled,Risk
29,radio_tv,3573,27590,greater_7,3,none,4,car_other,58,bank,own,602,unemployed,Risk
31,radio_tv,2246,32531,less_1,2,none,1,real_estate,23,bank,rent,651,unemployed,No Risk
4,car_used,559,30657,1_to_4,3,none,2,savings_insurance,22,none,own,633,skilled,No Risk
36,radio_tv,4469,23242,greater_7,4,none,2,savings_insurance,34,none,own,288,skilled,No Risk
22,radio_tv,3298,23348,4_to_7,4,co-applicant,3,car_other,52,none,own,543,skilled,Risk
42,other,6096,29558,greater_7,4,none,3,savings_insurance,47,none,free,265,skilled,Risk
27,radio_tv,2422,24994,greater_7,3,none,2,savings_insurance,45,none,own,205,skilled,Risk
13,car_used,2309,27071,less_1,1,none,1,savings_insurance,32,stores,own,478,skilled,Risk
36,radio_tv,5832,37486,greater_7,5,co-applicant,4,unknown,70,none,free,651,skilled,Risk
42,radio_tv,7306,20365,greater_7,4,co-applicant,4,car_other,58,none,own,344,skilled,Risk
24,retraining,2410,23613,4_to_7,3,none,1,car_other,37,stores,own,689,unskilled,No Risk
27,radio_tv,7104,34441,4_to_7,3,none,3,savings_insurance,50,none,own,231,skilled,Risk
20,radio_tv,6486,31289,4_to_7,4,none,2,car_other,42,none,free,418,management_self-employed,No Risk
